,,,,,,,,,,,Default Rate by Employment Length,,,
Status,AVERAGE of Income,COUNT of Loan Id,SUM of Amount,AVERAGE of Debtincrat,COUNTA of RevolRatio,AVERAGE of Delinq2Yr,AVERAGE of Totalpaid,AVERAGE of Accopen24,AVERAGE of Totalbal,,LengthGroup,COUNT of Loan Id,SUM of DefaultFlag,SUM of Debtincrat
Default,"68,496.25",2158,33541725,20.51929564,2158,0.3739574,"8,500.39",5.446246525,122239.8758,,0-2 Years,4563,786,84681.12
Non-Default,"77,012.08",10842,164308200,18.42042151,10842,0.3402509,"15,857.74",4.347998524,144940.9133,,10+ Years,332,59,6646.22
Grand Total,"75,598.45",13000,197849925,18.76883462,13000,0.3458462,"14,636.42",4.530307692,141172.5411,,3-5 Years,2657,414,50014.71
,,,,,,,,,,,6-10 Years,5448,899,102652.8
Default Rate by Income Group,,,,,,Percentage Of Defaulters vs Non-Defaulters,,,,,Grand Total,13000,2158,243994.85
IncomeGroup,COUNT of Loan Id,SUM of DefaultFlag,SUM of Debtincrat,SUM of Amount,,Status,COUNT of Loan Id,,,,,,,
High Income,3153,378,49996,66936025,,Default,16.60%,,,,State,SUM of DefaultFlag,,
Low Income,3249,639,67627.36,30297850,,Non-Default,83.40%,,,,AK,5,,
Middle Income,6598,1141,126371.49,100616050,,Grand Total,100.00%,,,,AL,36,,
Grand Total,13000,2158,243994.85,197849925,,,,,,,AR,15,,
,,,,,,,,,,,AZ,45,,
Default Rate by Credit Grade,,,,,,,,,,,CA,303,,
Grade,COUNT of Loan Id,SUM of DefaultFlag,SUM of Debtincrat,SUM of Amount,SUM of Rate,,,,,,CO,34,,
A,2107,106,34273.84,31176100,"927,717.05",,,,,,CT,27,,
B,3577,374,62933.53,50499425,"1,606,958.03",,,,,,DC,3,,
C,3673,648,70812.05,54269175,"1,625,962.72",,,,,,DE,5,,
D,2120,531,44152.74,33764175,"944,173.23",,,,,,FL,160,,
E,1124,339,23659.32,20679200,"505,507.71",,,,,,GA,67,,
F,327,130,6667.24,6138200,"147,792.49",,,,,,HI,9,,
G,72,30,1496.13,1323650,"33,475.68",,,,,,IL,82,,
Grand Total,13000,2158,243994.85,197849925,"5,791,586.91",,, ,,,IN,46,,
,,,,,,,,,,,KS,11,,
Default Rate by Interest Rate Bucket,,,,,,,,,,,KY,17,,
RateGroup,COUNT of Loan Id,SUM of DefaultFlag,SUM of Debtincrat,,,,,,,,LA,33,,
High Rate,3248,546,60503.97,,,,,,,,MA,49,,
Low Rate,3236,542,60366.01,,,,,,,,MD,54,,
Middle Rate,6516,1070,123124.87,,,,,,,,ME,5,,
Grand Total,13000,2158,243994.85,,,,,,,,MI,50,,
,,,,,,,,,,,MN,34,,
Default by Revol Ratio,,,,,,,,,,,MO,42,,
RevolRatio,SUM of Amount,COUNT of Loan Id,,,,,,,,,MS,13,,
High Utilization,93306400,5739,,,,,,,,,MT,5,,
Low Utilization,28428575,2106,,,,,,,,,NC,63,,
Medium Utilization,76114950,5155,,,,,,,,,ND,0,,
Grand Total,197849925,13000,,,,,,,,,NE,5,,
,,,,,,,,,,,NH,8,,
Delinquency Of Past Two Years,,,,,,,,,,,NJ,80,,
Delinq2Yr,SUM of Debtincrat,SUM of Amount,SUM of Rate,,,,,,,,NM,10,,
0,194311.52,156838900,"4,596,557.37",,,,,,,,NV,37,,
1,32287.07,26715800,"788,895.78",,,,,,,,NY,201,,
2,10433.33,8845250,"243,427.28",,,,,,,,OH,66,,
3,3416.98,2651950,"82,204.30",,,,,,,,OK,29,,
4,1500.59,1339400,"37,650.81",,,,,,,,OR,20,,
5,1037.79,725425,"20,485.92",,,,,,,,PA,87,,
6,246.84,161125,"4,228.85",,,,,,,,RI,12,,
7,319.25,228075,"7,329.88",,,,,,,,SC,26,,
8,155.69,128675,"4,342.59",,,,,,,,SD,5,,
9,103,88475,"2,612.68",,,,,,,,TN,36,,
10,61.36,39400,"1,471.81",,,,,,,,TX,171,,
11,28.09,17050,419.42,,,,,,,,UT,10,,
12,48.86,24800,885.56,,,,,,,,VA,57,,
13,9.89,14000,639.15,,,,,,,,VT,5,,
15,34.59,31600,435.51,,,,,,,,WA,38,,
Grand Total,243994.85,197849925,"5,791,586.91",,,,,,,,WI,30,,
,,,,,,,,,,,WV,10,,
,,,,,,,,,,,WY,2,,
,,,,,,,,,,,Grand Total,2158,,
