Loan Id,Amount,Term,Rate,Grade,Employment,Length,Income,Status,State,Debtincrat,Delinq2Yr,Openacc,RevolRatio,Totalpaid,Totalbal,Accopen24,Avgbal,Bcratio,Totallim,IncomeGroup,DefaultFlag,LengthGroup,RateGroup
16,3000,36,272.07,B,Respiratory Therapist,5,"60,000.00",Non-Default,CA,9.54,0,7,Medium Utilization,"3,453.26",22809,2,3258,85.80,30454,Middle Income,0,3-5 Years,Middle Rate
61,8000,60,266.88,B,Senior Logistics Analyst,3,"94,000.00",Non-Default,AL,22.33,0,24,Medium Utilization,"8,525.76",256696,11,11668,68.30,323167,High Income,0,3-5 Years,Low Rate
95,24000,60,458.45,B,Associate Professor,4,"155,000.00",Non-Default,TX,15.23,1,10,Medium Utilization,"26,598.88",70136,0,7014,44.30,152776,High Income,0,3-5 Years,Middle Rate
163,5000,36,194.10,D,Unknown,1,"18,868.80",Non-Default,TX,26.66,0,9,High Utilization,"6,348.86",10805,9,1351,95.10,16748,Low Income,0,0-2 Years,Low Rate
195,6400,36,754.07,B,Assistant Manager,8,"40,000.00",Non-Default,NY,25.35,1,15,Medium Utilization,"7,647.15",48446,0,3230,37.70,78255,Low Income,0,6-10 Years,High Rate
197,13825,36,123.01,C,Dme Tech,9,"33,000.00",Default,FL,11.78,0,11,Medium Utilization,"6,306.62",109137,2,10914,47.00,131400,Low Income,1,6-10 Years,Low Rate
206,10000,36,322.63,A,Analyst,1,"45,500.00",Non-Default,NC,25.96,0,19,Medium Utilization,"10,717.01",177491,4,9342,76.80,214634,Low Income,0,0-2 Years,Middle Rate
266,15000,60,289.34,B,Shift Manager,2,"46,000.00",Default,WA,26.77,0,6,High Utilization,"4,795.82",26162,3,4360,94.00,31100,Low Income,1,0-2 Years,Middle Rate
285,12800,36,270.48,C,Machinist,2,"51,000.00",Non-Default,KS,12.75,0,5,High Utilization,"14,471.75",156109,5,31222,85.20,163580,Middle Income,0,0-2 Years,Middle Rate
319,10000,36,135.42,B,Customer Service Representative,1,"40,000.00",Non-Default,VA,16.8,0,6,High Utilization,"11,538.62",52975,3,8829,79.20,61310,Low Income,0,0-2 Years,Low Rate
349,16000,36,186.61,D,Administrative Assistant,1,"64,000.00",Default,MI,25.78,0,13,High Utilization,"13,994.11",146730,2,12228,61.70,187600,Middle Income,1,0-2 Years,Low Rate
410,8700,36,164.29,B,Lead Qa Analyst,1,"50,000.00",Non-Default,CA,25.54,0,17,Medium Utilization,"10,092.07",23446,6,1379,72.50,34400,Middle Income,0,0-2 Years,Low Rate
417,5000,60,338.54,A,Sr. Technology Specialist,1,"79,000.00",Non-Default,CA,23.13,0,21,Medium Utilization,"5,236.36",308387,6,15419,53.20,383747,Middle Income,0,0-2 Years,Middle Rate
